				BIRDS	OF	GREAT	BRITAIN	0
IdcridcE	or	Hang	-	nests	and	Troupials	,	418
or	Hang	-	nests	and	Troupials	,	a	424
Hang	-	nests	and	Troupials	,	a	group	428
-	nests	and	Troupials	,	a	group	of	437
nests	and	Troupials	,	a	group	of	birds	439
and	Troupials	,	a	group	of	birds	linking	441
Troupials	,	a	group	of	birds	linking	the	447
,	a	group	of	birds	linking	the	Finches	450
a	group	of	birds	linking	the	Finches	and	456
group	of	birds	linking	the	Finches	and	the	464
of	birds	linking	the	Finches	and	the	Starlings	468
birds	linking	the	Finches	and	the	Starlings	,	476
linking	the	Finches	and	the	Starlings	,	and	480
the	Finches	and	the	Starlings	,	and	feeding	484
Finches	and	the	Starlings	,	and	feeding	largely	493
and	the	Starlings	,	and	feeding	largely	upon	495
the	Starlings	,	and	feeding	largely	upon	seeds	499
Starlings	,	and	feeding	largely	upon	seeds	and	507
,	and	feeding	largely	upon	seeds	and	insects	515
and	feeding	largely	upon	seeds	and	insects	.	520
feeding	largely	upon	seeds	and	insects	.	The	526
largely	upon	seeds	and	insects	.	The	late	530
upon	seeds	and	insects	.	The	late	Henry	537
seeds	and	insects	.	The	late	Henry	Seebohm	540
and	insects	.	The	late	Henry	Seebohm	was	544
insects	.	The	late	Henry	Seebohm	was	of	549
.	The	late	Henry	Seebohm	was	of	opinion	555
The	late	Henry	Seebohm	was	of	opinion	that	563
late	Henry	Seebohm	was	of	opinion	that	the	567
Henry	Seebohm	was	of	opinion	that	the	Orioles	570
Seebohm	was	of	opinion	that	the	Orioles	were	578
was	of	opinion	that	the	Orioles	were	nearly	583
of	opinion	that	the	Orioles	were	nearly	related	587
opinion	that	the	Orioles	were	nearly	related	to	595
that	the	Orioles	were	nearly	related	to	the	600
the	Orioles	were	nearly	related	to	the	Crows	607
Orioles	were	nearly	related	to	the	Crows	;	615
were	nearly	related	to	the	Crows	;	he	618
nearly	related	to	the	Crows	;	he	,	622
related	to	the	Crows	;	he	,	therefore	628
to	the	Crows	;	he	,	therefore	,	630
the	Crows	;	he	,	therefore	,	placed	632
Crows	;	he	,	therefore	,	placed	the	634
;	he	,	therefore	,	placed	the	genus	643
he	,	therefore	,	placed	the	genus	Oriolus	645
,	therefore	,	placed	the	genus	Oriolus	in	652
therefore	,	placed	the	genus	Oriolus	in	his	656
,	placed	the	genus	Oriolus	in	his	Subfamily	662
placed	the	genus	Oriolus	in	his	Subfamily	Corvince	670
the	genus	Oriolus	in	his	Subfamily	Corvince	,	673
genus	Oriolus	in	his	Subfamily	Corvince	,	from	677
Oriolus	in	his	Subfamily	Corvince	,	from	which	687
in	his	Subfamily	Corvince	,	from	which	he	695
his	Subfamily	Corvince	,	from	which	he	said	697
Subfamily	Corvince	,	from	which	he	said	that	702
Corvince	,	from	which	he	said	that	they	708
,	from	which	he	said	that	they	chiefly	711
from	which	he	said	that	they	chiefly	differed	716
which	he	said	that	they	chiefly	differed	in	721
he	said	that	they	chiefly	differed	in	their	726
said	that	they	chiefly	differed	in	their	exposed	734
that	they	chiefly	differed	in	their	exposed	nostrils	743
they	chiefly	differed	in	their	exposed	nostrils	,	746
chiefly	differed	in	their	exposed	nostrils	,	although	752
differed	in	their	exposed	nostrils	,	although	he	760
in	their	exposed	nostrils	,	although	he	admitted	768
their	exposed	nostrils	,	although	he	admitted	that	770
exposed	nostrils	,	although	he	admitted	that	the	779
nostrils	,	although	he	admitted	that	the	tarsus	782
,	although	he	admitted	that	the	tarsus	might	791
although	he	admitted	that	the	tarsus	might	perhaps	796
he	admitted	that	the	tarsus	might	perhaps	be	800
admitted	that	the	tarsus	might	perhaps	be	slightly	807
that	the	tarsus	might	perhaps	be	slightly	shorter	813
the	tarsus	might	perhaps	be	slightly	shorter	,	821
tarsus	might	perhaps	be	slightly	shorter	,	and	824
might	perhaps	be	slightly	shorter	,	and	the	833
perhaps	be	slightly	shorter	,	and	the	prevailing	840
be	slightly	shorter	,	and	the	prevailing	colours	842
slightly	shorter	,	and	the	prevailing	colours	different	846
shorter	,	and	the	prevailing	colours	different	;	850
,	and	the	prevailing	colours	different	;	whilst	861
and	the	prevailing	colours	different	;	whilst	the	869
the	prevailing	colours	different	;	whilst	the	sexes	879
prevailing	colours	different	;	whilst	the	sexes	also	881
colours	different	;	whilst	the	sexes	also	were	888
different	;	whilst	the	sexes	also	were	dissimilar	892
;	whilst	the	sexes	also	were	dissimilar	.	898
whilst	the	sexes	also	were	dissimilar	.	*	903
the	sexes	also	were	dissimilar	.	*	In	908
sexes	also	were	dissimilar	.	*	In	addition	918
also	were	dissimilar	.	*	In	addition	to	919
were	dissimilar	.	*	In	addition	to	the	922
dissimilar	.	*	In	addition	to	the	above	925
.	*	In	addition	to	the	above	distinctive	934
*	In	addition	to	the	above	distinctive	characters	937
In	addition	to	the	above	distinctive	characters	,	941
addition	to	the	above	distinctive	characters	,	the	947
to	the	above	distinctive	characters	,	the	third	959
the	above	distinctive	characters	,	the	third	primary	969
above	distinctive	characters	,	the	third	primary	of	971
distinctive	characters	,	the	third	primary	of	the	975
characters	,	the	third	primary	of	the	wing	981
,	the	third	primary	of	the	wing	(	989
the	third	primary	of	the	wing	(	not	992
third	primary	of	the	wing	(	not	the	996
primary	of	the	wing	(	not	the	fourth	1001
of	the	wing	(	not	the	fourth	or	1002
the	wing	(	not	the	fourth	or	fifth	1006
wing	(	not	the	fourth	or	fifth	)	1010
(	not	the	fourth	or	fifth	)	appears	1017
not	the	fourth	or	fifth	)	appears	to	1020
the	fourth	or	fifth	)	appears	to	be	1025
fourth	or	fifth	)	appears	to	be	the	1027
or	fifth	)	appears	to	be	the	longest	1035
fifth	)	appears	to	be	the	longest	,	1038
)	appears	to	be	the	longest	,	in	1041
appears	to	be	the	longest	,	in	the	1045
to	be	the	longest	,	in	the	Orioles	1052
be	the	longest	,	in	the	Orioles	;	1054
the	longest	,	in	the	Orioles	;	whilst	1057
longest	,	in	the	Orioles	;	whilst	the	1061
,	in	the	Orioles	;	whilst	the	whole	1068
in	the	Orioles	;	whilst	the	whole	character	1070
the	Orioles	;	whilst	the	whole	character	of	1077
Orioles	;	whilst	the	whole	character	of	the	1081
;	whilst	the	whole	character	of	the	nest	1087
whilst	the	whole	character	of	the	nest	,	1097
the	whole	character	of	the	nest	,	which	1100
whole	character	of	the	nest	,	which	Seebohm	1104
character	of	the	nest	,	which	Seebohm	often	1108
of	the	nest	,	which	Seebohm	often	made	1110
the	nest	,	which	Seebohm	often	made	much	1116
nest	,	which	Seebohm	often	made	much	of	1124
,	which	Seebohm	often	made	much	of	iu	1130
which	Seebohm	often	made	much	of	iu	his	1135
Seebohm	often	made	much	of	iu	his	classification	1140
often	made	much	of	iu	his	classification	,	1143
made	much	of	iu	his	classification	,	is	1146
much	of	iu	his	classification	,	is	quite	1150
of	iu	his	classification	,	is	quite	unlike	1164
iu	his	classification	,	is	quite	unlike	that	1168
his	classification	,	is	quite	unlike	that	of	1171
classification	,	is	quite	unlike	that	of	a	1177
,	is	quite	unlike	that	of	a	Crow	1184
is	quite	unlike	that	of	a	Crow	;	1189
quite	unlike	that	of	a	Crow	;	being	1192
unlike	that	of	a	Crow	;	being	neatly	1194
that	of	a	Crow	;	being	neatly	woven	1199
of	a	Crow	;	being	neatly	woven	,	1201
a	Crow	;	being	neatly	woven	,	and	1207
Crow	;	being	neatly	woven	,	and	slung	1214
;	being	neatly	woven	,	and	slung	like	1219
being	neatly	woven	,	and	slung	like	a	1221
neatly	woven	,	and	slung	like	a	hammock	1225
woven	,	and	slung	like	a	hammock	between	1231
,	and	slung	like	a	hammock	between	the	1236
and	slung	like	a	hammock	between	the	forks	1238
slung	like	a	hammock	between	the	forks	of	1246
like	a	hammock	between	the	forks	of	a	1254
a	hammock	between	the	forks	of	a	branch	1258
hammock	between	the	forks	of	a	branch	:	1264
between	the	forks	of	a	branch	:	moreover	1267
the	forks	of	a	branch	:	moreover	,	1269
forks	of	a	branch	:	moreover	,	whereas	1276
of	a	branch	:	moreover	,	whereas	the	1278
a	branch	:	moreover	,	whereas	the	eggs	1286
branch	:	moreover	,	whereas	the	eggs	of	1288
:	moreover	,	whereas	the	eggs	of	the	1296
moreover	,	whereas	the	eggs	of	the	Crows	1300
,	whereas	the	eggs	of	the	Crows	are	1305
whereas	the	eggs	of	the	Crows	are	usually	1308
the	eggs	of	the	Crows	are	usually	of	1312
eggs	of	the	Crows	are	usually	of	some	1318
of	the	Crows	are	usually	of	some	shade	1322
the	Crows	are	usually	of	some	shade	of	1330
Crows	are	usually	of	some	shade	of	green	1333
are	usually	of	some	shade	of	green	or	1338
usually	of	some	shade	of	green	or	blue	1344
of	some	shade	of	green	or	blue	,	1347
some	shade	of	green	or	blue	,	heavily	1353
shade	of	green	or	blue	,	heavily	spotted	1356
of	green	or	blue	,	heavily	spotted	and	1360
green	or	blue	,	heavily	spotted	and	speckled	1362
or	blue	,	heavily	spotted	and	speckled	,	1370
blue	,	heavily	spotted	and	speckled	,	or	1378
,	heavily	spotted	and	speckled	,	or	blotched	1382
heavily	spotted	and	speckled	,	or	blotched	and	1390
spotted	and	speckled	,	or	blotched	and	mottled	1392
and	speckled	,	or	blotched	and	mottled	,	1395
speckled	,	or	blotched	and	mottled	,	with	1404
,	or	blotched	and	mottled	,	with	various	1408
or	blotched	and	mottled	,	with	various	shades	1415
blotched	and	mottled	,	with	various	shades	of	1417
and	mottled	,	with	various	shades	of	olive	1422
mottled	,	with	various	shades	of	olive	or	1430
,	with	various	shades	of	olive	or	brown	1437
with	various	shades	of	olive	or	brown	,	1440
various	shades	of	olive	or	brown	,	those	1446
shades	of	olive	or	brown	,	those	of	1449
of	olive	or	brown	,	those	of	the	1454
olive	or	brown	,	those	of	the	Orioles	1456
or	brown	,	those	of	the	Orioles	vary	1462
brown	,	those	of	the	Orioles	vary	from	1465
,	those	of	the	Orioles	vary	from	white	1469
those	of	the	Orioles	vary	from	white	to	1477
of	the	Orioles	vary	from	white	to	salmon	1482
the	Orioles	vary	from	white	to	salmon	-	1487
Orioles	vary	from	white	to	salmon	-	pink	1493
vary	from	white	to	salmon	-	pink	,	1496
from	white	to	salmon	-	pink	,	clearly	1502
white	to	salmon	-	pink	,	clearly	spotted	1503
to	salmon	-	pink	,	clearly	spotted	with	1507
salmon	-	pink	,	clearly	spotted	with	blackish	1509
-	pink	,	clearly	spotted	with	blackish	-	1517
pink	,	clearly	spotted	with	blackish	-	brown	1525
,	clearly	spotted	with	blackish	-	brown	,	1530
clearly	spotted	with	blackish	-	brown	,	and	1538
spotted	with	blackish	-	brown	,	and	some	1539
with	blackish	-	brown	,	and	some	-	1544
blackish	-	brown	,	and	some	-	times	1546
-	brown	,	and	some	-	times	with	1550
brown	,	and	some	-	times	with	lilacine-greyisli	1554
,	and	some	-	times	with	lilacine-greyisli	shell	1555
and	some	-	times	with	lilacine-greyisli	shell	-	1562
some	-	times	with	lilacine-greyisli	shell	-	markings	1567
-	times	with	lilacine-greyisli	shell	-	markings	.	1585
times	with	lilacine-greyisli	shell	-	markings	.	The	1590
with	lilacine-greyisli	shell	-	markings	.	The	call	1591
lilacine-greyisli	shell	-	markings	.	The	call	-	1599
shell	-	markings	.	The	call	-	notes	1602
-	markings	.	The	call	-	notes	and	1606
markings	.	The	call	-	notes	and	songs	1610
.	The	call	-	notes	and	songs	of	1611
The	call	-	notes	and	songs	of	the	1617
call	-	notes	and	songs	of	the	Orioles	1621
-	notes	and	songs	of	the	Orioles	are	1627
notes	and	songs	of	the	Orioles	are	bright	1630
and	songs	of	the	Orioles	are	bright	and	1634
songs	of	the	Orioles	are	bright	and	melodious	1642
of	the	Orioles	are	bright	and	melodious	;	1646
the	Orioles	are	bright	and	melodious	;	but	1653
Orioles	are	bright	and	melodious	;	but	this	1657
are	bright	and	melodious	;	but	this	fact	1667
bright	and	melodious	;	but	this	fact	would	1669
and	melodious	;	but	this	fact	would	not	1673
melodious	;	but	this	fact	would	not	be	1678
;	but	this	fact	would	not	be	a	1683
but	this	fact	would	not	be	a	sufficient	1689
this	fact	would	not	be	a	sufficient	reason	1693
fact	would	not	be	a	sufficient	reason	for	1696
would	not	be	a	sufficient	reason	for	dissociating	1698
not	be	a	sufficient	reason	for	dissociating	them	1709
be	a	sufficient	reason	for	dissociating	them	from	1716
a	sufficient	reason	for	dissociating	them	from	the	1720
sufficient	reason	for	dissociating	them	from	the	Crows	1733
reason	for	dissociating	them	from	the	Crows	;	1738
for	dissociating	them	from	the	Crows	;	although	1743
dissociating	them	from	the	Crows	;	although	our	1747
them	from	the	Crows	;	although	our	native	1753
from	the	Crows	;	although	our	native	species	1755
the	Crows	;	although	our	native	species	of	1764
Crows	;	although	our	native	species	of	Corvidcr	1768
;	although	our	native	species	of	Corvidcr	do	1775
although	our	native	species	of	Corvidcr	do	not	1783
our	native	species	of	Corvidcr	do	not	shine	1786
native	species	of	Corvidcr	do	not	shine	as	1795
species	of	Corvidcr	do	not	shine	as	whistlers	1798
of	Corvidcr	do	not	shine	as	whistlers	,	1802
Corvidcr	do	not	shine	as	whistlers	,	in	1808
do	not	shine	as	whistlers	,	in	their	1811
not	shine	as	whistlers	,	in	their	wild	1820
shine	as	whistlers	,	in	their	wild	state	1822
as	whistlers	,	in	their	wild	state	.	1825
whistlers	,	in	their	wild	state	.	I	1831
,	in	their	wild	state	.	I	think	1836
in	their	wild	state	.	I	think	,	1841
their	wild	state	.	I	think	,	however	1843
wild	state	.	I	think	,	however	,	1845
state	.	I	think	,	however	,	that	1850
.	I	think	,	however	,	that	Howard	1852
I	think	,	however	,	that	Howard	Saunders	1859
think	,	however	,	that	Howard	Saunders	was	1861
,	however	,	that	Howard	Saunders	was	fully	1866
however	,	that	Howard	Saunders	was	fully	justified	1873
,	that	Howard	Saunders	was	fully	justified	in	1882
that	Howard	Saunders	was	fully	justified	in	adopting	1886
Howard	Saunders	was	fully	justified	in	adopting	the	1892
Saunders	was	fully	justified	in	adopting	the	present	1902
was	fully	justified	in	adopting	the	present	family	1905
fully	justified	in	adopting	the	present	family	for	1914
justified	in	adopting	the	present	family	for	the	1918
in	adopting	the	present	family	for	the	Orioles	1926
adopting	the	present	family	for	the	Orioles	.	1933
the	present	family	for	the	Orioles	.	Familx-	1937
present	family	for	the	Orioles	.	Familx-	ORIOL	1941
family	for	the	Orioles	.	Familx-	ORIOL	ID^E	1948
for	the	Orioles	.	Familx-	ORIOL	ID^E	.	1951
the	Orioles	.	Familx-	ORIOL	ID^E	.	The	1959
Orioles	.	Familx-	ORIOL	ID^E	.	The	Golden	1965
.	Familx-	ORIOL	ID^E	.	The	Golden	Oriole	1969
Familx-	ORIOL	ID^E	.	The	Golden	Oriole	.	1972
ORIOL	ID^E	.	The	Golden	Oriole	.	Oriolus	1976
ID^E	.	The	Golden	Oriole	.	Oriolus	ga/bula	1983
.	The	Golden	Oriole	.	Oriolus	ga/bula	,	1989
The	Golden	Oriole	.	Oriolus	ga/bula	,	LiNN	1992
Golden	Oriole	.	Oriolus	ga/bula	,	LiNN	.	2000
Oriole	.	Oriolus	ga/bula	,	LiNN	.	BREEDS	2007
.	Oriolus	ga/bula	,	LiNN	.	BREEDS	in	2009
Oriolus	ga/bula	,	LiNN	.	BREEDS	in	suitable	2013
ga/bula	,	LiNN	.	BREEDS	in	suitable	localities	2016
,	LiNN	.	BREEDS	in	suitable	localities	throughout	2023
LiNN	.	BREEDS	in	suitable	localities	throughout	Europe	2026
.	BREEDS	in	suitable	localities	throughout	Europe	south	2035
BREEDS	in	suitable	localities	throughout	Europe	south	of	2046
in	suitable	localities	throughout	Europe	south	of	the	2057
suitable	localities	throughout	Europe	south	of	the	Baltic	2064
localities	throughout	Europe	south	of	the	Baltic	and	2070
throughout	Europe	south	of	the	Baltic	and	in	2073
Europe	south	of	the	Baltic	and	in	Algeria	2077
south	of	the	Baltic	and	in	Algeria	;	2084
of	the	Baltic	and	in	Algeria	;	passes	2088
the	Baltic	and	in	Algeria	;	passes	through	2091
Baltic	and	in	Algeria	;	passes	through	Greece	2099
and	in	Algeria	;	passes	through	Greece	,	2101
in	Algeria	;	passes	through	Greece	,	Asia	2108
Algeria	;	passes	through	Greece	,	Asia	Minor	2116
;	passes	through	Greece	,	Asia	Minor	,	2122
passes	through	Greece	,	Asia	Minor	,	Palestine	2124
through	Greece	,	Asia	Minor	,	Palestine	,	2129
Greece	,	Asia	Minor	,	Palestine	,	Egypt	2134
,	Asia	Minor	,	Palestine	,	Egypt	,	2136
Asia	Minor	,	Palestine	,	Egypt	,	and	2145
Minor	,	Palestine	,	Egypt	,	and	Nubia	2147
,	Palestine	,	Egypt	,	and	Nubia	,	2152
Palestine	,	Egypt	,	and	Nubia	,	on	2154
,	Egypt	,	and	Nubia	,	on	migration	2158
Egypt	,	and	Nubia	,	on	migration	;	2163
,	and	Nubia	,	on	migration	;	and	2165
and	Nubia	,	on	migration	;	and	winters	2168
Nubia	,	on	migration	;	and	winters	in	2178
,	on	migration	;	and	winters	in	North	2180
on	migration	;	and	winters	in	North	Africa	2184
migration	;	and	winters	in	North	Africa	,	2192
;	and	winters	in	North	Africa	,	south	2195
and	winters	in	North	Africa	,	south	-	2201
winters	in	North	Africa	,	south	-	eastwards	2207
in	North	Africa	,	south	-	eastwards	to	2209
North	Africa	,	south	-	eastwards	to	Madagascar	2214
Africa	,	south	-	eastwards	to	Madagascar	,	2215
,	south	-	eastwards	to	Madagascar	,	Natal	2225
south	-	eastwards	to	Madagascar	,	Natal	,	2228
-	eastwards	to	Madagascar	,	Natal	,	and	2238
eastwards	to	Madagascar	,	Natal	,	and	westwards	2240
to	Madagascar	,	Natal	,	and	westwards	to	2245
Madagascar	,	Natal	,	and	westwards	to	Damara	2247
,	Natal	,	and	westwards	to	Damara	Land	2251
Natal	,	and	westwards	to	Damara	Land	:	2261
,	and	westwards	to	Damara	Land	:	stragglers	2264
and	westwards	to	Damara	Land	:	stragglers	sometimes	2271
westwards	to	Damara	Land	:	stragglers	sometimes	occur	2276
to	Damara	Land	:	stragglers	sometimes	occur	in	2278
Damara	Land	:	stragglers	sometimes	occur	in	Madeira	2289
Land	:	stragglers	sometimes	occur	in	Madeira	,	2299
:	stragglers	sometimes	occur	in	Madeira	,	and	2305
stragglers	sometimes	occur	in	Madeira	,	and	the	2308
sometimes	occur	in	Madeira	,	and	the	Azores	2315
occur	in	Madeira	,	and	the	Azores	.	2317
in	Madeira	,	and	the	Azores	.	The	2321
Madeira	,	and	the	Azores	.	The	Golden	2325
,	and	the	Azores	.	The	Golden	Oriole	2331
and	the	Azores	.	The	Golden	Oriole	is	2334
the	Azores	.	The	Golden	Oriole	is	a	2338
Azores	.	The	Golden	Oriole	is	a	regular	2345
.	The	Golden	Oriole	is	a	regular	visitor	2352
The	Golden	Oriole	is	a	regular	visitor	to	2355
Golden	Oriole	is	a	regular	visitor	to	our	2357
Oriole	is	a	regular	visitor	to	our	shores	2365
is	a	regular	visitor	to	our	shores	in	2373
a	regular	visitor	to	our	shores	in	spring	2376
regular	visitor	to	our	shores	in	spring	,	2380
visitor	to	our	shores	in	spring	,	the	2387
to	our	shores	in	spring	,	the	largest	2390
our	shores	in	spring	,	the	largest	number	2396
shores	in	spring	,	the	largest	number	having	2398
in	spring	,	the	largest	number	having	been	2402
spring	,	the	largest	number	having	been	seen	2410
,	the	largest	number	having	been	seen	in	2417
the	largest	number	having	been	seen	in	the	2424
largest	number	having	been	seen	in	the	Scilly	2429
number	having	been	seen	in	the	Scilly	Islands	2434
having	been	seen	in	the	Scilly	Islands	,	2437
been	seen	in	the	Scilly	Islands	,	and	2441
seen	in	the	Scilly	Islands	,	and	Cornwall	2448
in	the	Scilly	Islands	,	and	Cornwall	;	2455
the	Scilly	Islands	,	and	Cornwall	;	it	2457
Scilly	Islands	,	and	Cornwall	;	it	has	2461
Islands	,	and	Cornwall	;	it	has	,	2470
,	and	Cornwall	;	it	has	,	however	2472
and	Cornwall	;	it	has	,	however	,	2475
Cornwall	;	it	has	,	however	,	been	2478
;	it	has	,	however	,	been	met	2480
it	has	,	however	,	been	met	with	2487
has	,	however	,	been	met	with	in	2489
,	however	,	been	met	with	in	not	2494
however	,	been	met	with	in	not	a	2498
,	been	met	with	in	not	a	few	2503
been	met	with	in	not	a	few	of	2506
met	with	in	not	a	few	of	the	2510
with	in	not	a	few	of	the	southern	2512
in	not	a	few	of	the	southern	and	2516
not	a	few	of	the	southern	and	south	2519
a	few	of	the	southern	and	south	-	2523
few	of	the	southern	and	south	-	eastern	2532
of	the	southern	and	south	-	eastern	counties	2536
the	southern	and	south	-	eastern	counties	,	2541
southern	and	south	-	eastern	counties	,	and	2542
and	south	-	eastern	counties	,	and	several	2550
south	-	eastern	counties	,	and	several	instances	2558
-	eastern	counties	,	and	several	instances	of	2560
eastern	counties	,	and	several	instances	of	its	2564
counties	,	and	several	instances	of	its	breeding	2572
,	and	several	instances	of	its	breeding	with	2582
and	several	instances	of	its	breeding	with	us	2585
several	instances	of	its	breeding	with	us	have	2589
instances	of	its	breeding	with	us	have	been	2598
of	its	breeding	with	us	have	been	recorded	2603
its	breeding	with	us	have	been	recorded	.	2606
breeding	with	us	have	been	recorded	.	In	2611
with	us	have	been	recorded	.	In	1868	2616
us	have	been	recorded	.	In	1868	,	2624
have	been	recorded	.	In	1868	,	I	2626
been	recorded	.	In	1868	,	I	saw	2629
recorded	.	In	1868	,	I	saw	a	2633
.	In	1868	,	I	saw	a	male	2635
In	1868	,	I	saw	a	male	specimen	2637
1868	,	I	saw	a	male	specimen	of	2641
,	I	saw	a	male	specimen	of	this	2643
I	saw	a	male	specimen	of	this	bird	2648
saw	a	male	specimen	of	this	bird	near	2657
a	male	specimen	of	this	bird	near	Linton	2660
male	specimen	of	this	bird	near	Linton	,	2665
specimen	of	this	bird	near	Linton	,	in	2670
of	this	bird	near	Linton	,	in	Devonshire	2675
this	bird	near	Linton	,	in	Devonshire	,	2681
bird	near	Linton	,	in	Devonshire	,	and	2683
near	Linton	,	in	Devonshire	,	and	in	2686
Linton	,	in	Devonshire	,	and	in	July	2696
,	in	Devonshire	,	and	in	July	,	2698
in	Devonshire	,	and	in	July	,	1887	2702
Devonshire	,	and	in	July	,	1887	,	2705
,	and	in	July	,	1887	,	I	2709
and	in	July	,	1887	,	I	was	2711
in	July	,	1887	,	I	was	just	2715
July	,	1887	,	I	was	just	too	2717
,	1887	,	I	was	just	too	late	2719
1887	,	I	was	just	too	late	to	2723
,	I	was	just	too	late	to	see	2728
I	was	just	too	late	to	see	the	2732
was	just	too	late	to	see	the	species	2737
just	too	late	to	see	the	species	in	2740
too	late	to	see	the	species	in	Essex	2744
late	to	see	the	species	in	Essex	;	2748
to	see	the	species	in	Essex	;	Mr.	2756
see	the	species	in	Essex	;	Mr.	Fitch	2759
the	species	in	Essex	;	Mr.	Fitch	,	2765
species	in	Essex	;	Mr.	Fitch	,	of	2767
in	Essex	;	Mr.	Fitch	,	of	Maldon	2771
Essex	;	Mr.	Fitch	,	of	Maldon	(	2776
;	Mr.	Fitch	,	of	Maldon	(	whom	2778
Mr.	Fitch	,	of	Maldon	(	whom	I	2781
Fitch	,	of	Maldon	(	whom	I	was	2788
,	of	Maldon	(	whom	I	was	visiting	2789
of	Maldon	(	whom	I	was	visiting	)	2794
Maldon	(	whom	I	was	visiting	)	informed	2796
(	whom	I	was	visiting	)	informed	me	2800
whom	I	was	visiting	)	informed	me	that	2808
I	was	visiting	)	informed	me	that	the	2810
was	visiting	)	informed	me	that	the	bird	2819
visiting	)	informed	me	that	the	bird	had	2822
)	informed	me	that	the	bird	had	been	2827
informed	me	that	the	bird	had	been	seen	2831
me	that	the	bird	had	been	seen	in	2836
